SampleID	Barcode	Run	old_filename	new_filename	Barcode_Quality	HiFi_Reads	HiFi_Mean_Read_Length	HiFi_Mean_Read_Quality	HiFi_Yield	Hive	Group	Bee	Timepoint	DPC	Replicate	SampleType	plate_extraction	plate_libraryprep
4.F.4.C	Kinnex16S_Fwd_06--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_34.hifi_reads.fastq.gz	4.F.4.C.fastq.gz	99.47229348	2.93E+05	1515	Q33	444376513	4	F	4	C	9	15/07/2024	colonized_bee	2	2
3.F.3.A	Kinnex16S_Fwd_01--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_01--Kinnex16S_Rev_36.hifi_reads.fastq.gz	3.F.3.A.fastq.gz	99.46541889	2.96E+05	1510	Q33	446547396	3	F	3	A	4	15/07/2024	colonized_bee	2	2
4.F.3.A	Kinnex16S_Fwd_02--Kinnex16S_Rev_32	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_02--Kinnex16S_Rev_32.hifi_reads.fastq.gz	4.F.3.A.fastq.gz	99.47359104	2.97E+05	1513	Q33	449021327	4	F	3	A	4	15/07/2024	colonized_bee	2	2
1.SWT.5.C	Kinnex16S_Fwd_05--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_36.hifi_reads.fastq.gz	1.SWT.5.C.fastq.gz	99.42391031	3.10E+05	1519	Q33	471193123	1	SWT	5	C	9	26/09/2024	colonized_bee	2	2
2.F.1.A	Kinnex16S_Fwd_01--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_01--Kinnex16S_Rev_34.hifi_reads.fastq.gz	2.F.1.A.fastq.gz	99.47146638	3.15E+05	1515	Q33	477491359	2	F	1	A	4	15/07/2024	colonized_bee	2	2
3.SWT.1.B	Kinnex16S_Fwd_04--Kinnex16S_Rev_31	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_31.hifi_reads.fastq.gz	3.SWT.1.B.fastq.gz	99.48839895	3.18E+05	1514	Q33	481217457	3	SWT	1	B	6	15/07/2024	colonized_bee	2	2
1.F.1.B	Kinnex16S_Fwd_04--Kinnex16S_Rev_23	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_23.hifi_reads.fastq.gz	1.F.1.B.fastq.gz	99.46733712	3.20E+05	1510	Q33	484032564	1	F	1	B	6	26/09/2024	colonized_bee	1	1
3.F.1.D	Kinnex16S_Fwd_07--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_07--Kinnex16S_Rev_36.hifi_reads.fastq.gz	3.F.1.D.fastq.gz	99.44147768	3.23E+05	1518	Q33	489984384	3	F	1	D	11	15/07/2024	colonized_bee	2	2
1.F.1.C	Kinnex16S_Fwd_05--Kinnex16S_Rev_31	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_31.hifi_reads.fastq.gz	1.F.1.C.fastq.gz	99.49068217	3.23E+05	1514	Q33	489260334	1	F	1	C	9	26/09/2024	colonized_bee	2	2
4.F.1.C	Kinnex16S_Fwd_06--Kinnex16S_Rev_33	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_33.hifi_reads.fastq.gz	4.F.1.C.fastq.gz	99.51825489	3.26E+05	1511	Q33	493041826	4	F	1	C	9	15/07/2024	colonized_bee	2	2
3.SWT.3.C	Kinnex16S_Fwd_06--Kinnex16S_Rev_32	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_32.hifi_reads.fastq.gz	3.SWT.3.C.fastq.gz	99.46247781	3.30E+05	1517	Q33	501026770	3	SWT	3	C	9	15/07/2024	colonized_bee	2	2
5.SWT.1.A	Kinnex16S_Fwd_04--Kinnex16S_Rev_21	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_21.hifi_reads.fastq.gz	5.SWT.1.A.fastq.gz	99.49716285	3.32E+05	1509	Q33	500828274	5	SWT	1	A	4	26/09/2024	colonized_bee	1	1
1.SWT.1.B	Kinnex16S_Fwd_03--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_03--Kinnex16S_Rev_34.hifi_reads.fastq.gz	1.SWT.1.B.fastq.gz	99.48356977	3.43E+05	1502	Q33	515565735	1	SWT	1	B	6	26/09/2024	colonized_bee	2	2
Mix_26	Kinnex16S_Fwd_09--Kinnex16S_Rev_32	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_09--Kinnex16S_Rev_32.hifi_reads.fastq.gz	Mix_26.fastq.gz	99.55872418	5.65E+05	1492	Q33	842778200	NA	NA	NA	NA	NA	26/09/2024	inoculum_0h	2	2
