cluster	sequence	taxonomy_full	taxonomy_genus	genus_species	strain	taxonomy_species	use_to_quantify
Cluster41	ESL1062_ASV30_x2_copy2	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium mizhiense	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium mizhiense-ESL1062-Cluster41	ESL1062	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__mizhiense	TRUE
Cluster42	ESL1083_ASV23_x2_copy1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium apousia	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium apousia-ESL1083-Cluster42	ESL1083	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__apousia	TRUE
Cluster42	ESL1083_ASV23_x2_copy2	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium apousia	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium apousia-ESL1083-Cluster42	ESL1083	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__apousia	TRUE
Cluster43	ESL1291_ASV57_x1_copy1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium indicum	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium indicum-ESL1291-Cluster43	ESL1291	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__indicum	TRUE
Cluster44	ESL1291_ASV60_x1_copy1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium indicum	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium indicum-ESL1291-Cluster44	ESL1291	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__indicum	TRUE
Cluster45	ESL1292_ASV35_x2_copy1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium asteroides	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium asteroides-ESL1292-Cluster45	ESL1292	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__asteroides	TRUE
Cluster45	ESL1292_ASV35_x2_copy2	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium asteroides	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium asteroides-ESL1292-Cluster45	ESL1292	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;Bifidobacterium;s__asteroides	TRUE
Cluster46	ESL0284_ASV16_x4_copy1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__Commensalibacter melissae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;	Commensalibacter melissae-ESL0284-Cluster46	ESL0284	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__melissae	TRUE
Cluster46	ESL0284_ASV16_x4_copy2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__Commensalibacter melissae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;	Commensalibacter melissae-ESL0284-Cluster46	ESL0284	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__melissae	TRUE
Cluster46	ESL0284_ASV16_x4_copy3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__Commensalibacter melissae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;	Commensalibacter melissae-ESL0284-Cluster46	ESL0284	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__melissae	TRUE
Cluster46	ESL0284_ASV16_x4_copy4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__Commensalibacter melissae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;	Commensalibacter melissae-ESL0284-Cluster46	ESL0284	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;Commensalibacter;s__melissae	TRUE
Cluster47	ESL0024_ASV17_x2_copy1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Rhizobiaceae;Bartonella_A;s__Bartonella_A apis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Rhizobiaceae;Bartonella_A;	Bartonella_A apis-ESL0024-Cluster47	ESL0024	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Rhizobiaceae;Bartonella_A;s__apis	TRUE
Cluster47	ESL0024_ASV17_x2_copy2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Rhizobiaceae;Bartonella_A;s__Bartonella_A apis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Rhizobiaceae;Bartonella_A;	Bartonella_A apis-ESL0024-Cluster47	ESL0024	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Rhizobiaceae;Bartonella_A;s__apis	TRUE
